client_id,problem_id,status
CLT0032,PRB0001,CLOSED
CLT0018,PRB0002,IN_PROGRESS
CLT0040,PRB0003,RESOLVED
CLT0005,PRB0004,RESOLVED
CLT0036,PRB0005,RESOLVED
CLT0008,PRB0006,IN_PROGRESS
CLT0002,PRB0007,IN_PROGRESS
CLT0018,PRB0008,OPEN
CLT0021,PRB0009,OPEN
CLT0033,PRB0010,RESOLVED
CLT0028,PRB0011,IN_PROGRESS
CLT0038,PRB0012,IN_PROGRESS
CLT0030,PRB0013,CLOSED
CLT0008,PRB0014,RESOLVED
CLT0018,PRB0015,OPEN
CLT0038,PRB0016,CLOSED
CLT0037,PRB0017,IN_PROGRESS
CLT0025,PRB0018,OPEN
CLT0027,PRB0019,RESOLVED
CLT0005,PRB0020,IN_PROGRESS
CLT0037,PRB0021,RESOLVED
CLT0021,PRB0022,CLOSED
CLT0027,PRB0023,CLOSED
CLT0014,PRB0024,CLOSED
CLT0028,PRB0025,PENDING
CLT0023,PRB0026,RESOLVED
CLT0008,PRB0027,CLOSED
CLT0027,PRB0028,CLOSED
CLT0016,PRB0029,RESOLVED
CLT0030,PRB0030,CLOSED
CLT0007,PRB0031,RESOLVED
CLT0023,PRB0032,IN_PROGRESS
CLT0017,PRB0033,RESOLVED
CLT0034,PRB0034,RESOLVED
CLT0013,PRB0035,PENDING
CLT0009,PRB0036,IN_PROGRESS
CLT0032,PRB0037,PENDING
CLT0025,PRB0038,CLOSED
CLT0013,PRB0039,RESOLVED
CLT0018,PRB0040,IN_PROGRESS
CLT0028,PRB0041,PENDING
CLT0021,PRB0042,RESOLVED
CLT0032,PRB0043,OPEN
CLT0039,PRB0044,PENDING
CLT0030,PRB0045,IN_PROGRESS
CLT0027,PRB0046,PENDING
CLT0012,PRB0047,PENDING
CLT0027,PRB0048,PENDING
CLT0025,PRB0049,CLOSED
CLT0004,PRB0050,OPEN
CLT0039,PRB0051,IN_PROGRESS
CLT0010,PRB0052,IN_PROGRESS
CLT0013,PRB0053,IN_PROGRESS
CLT0033,PRB0054,RESOLVED
CLT0006,PRB0055,IN_PROGRESS
CLT0002,PRB0056,IN_PROGRESS
CLT0040,PRB0057,OPEN
CLT0025,PRB0058,RESOLVED
CLT0031,PRB0059,RESOLVED
CLT0019,PRB0060,PENDING
