service_id,sec_type,cost,complexity
SVC0001,Encryption,7362.6,MEDIUM
SVC0002,Access Control,7326.89,LOW
SVC0003,Encryption,5086.28,LOW
SVC0004,Patch Management,7186.46,LOW
SVC0005,Access Control,9315.2,HIGH
SVC0006,Patch Management,8090.45,HIGH
SVC0007,Training,6625.52,HIGH
SVC0008,Training,6950.65,LOW
SVC0009,Monitoring,9403.02,HIGH
SVC0010,Patch Management,4826.25,MEDIUM
SVC0011,Monitoring,5901.06,HIGH
SVC0012,Firewall,6828.71,LOW
SVC0013,Encryption,9175.7,LOW
SVC0014,Access Control,8439.68,MEDIUM
SVC0015,Access Control,1642.69,HIGH
SVC0016,Monitoring,2493.31,HIGH
SVC0017,Encryption,3768.51,MEDIUM
SVC0018,Authentication,7740.62,MEDIUM
SVC0019,Access Control,6122.86,LOW
SVC0020,Authentication,3597.5,HIGH
SVC0021,Encryption,2119.18,MEDIUM
SVC0022,Authentication,7198.1,HIGH
SVC0023,Firewall,7297.6,MEDIUM
SVC0024,Patch Management,9484.09,LOW
SVC0025,Training,5504.25,MEDIUM
SVC0026,Training,5444.16,MEDIUM
SVC0027,Monitoring,1723.98,MEDIUM
SVC0028,Firewall,1358.75,MEDIUM
SVC0029,Access Control,4888.26,MEDIUM
SVC0030,Monitoring,3900.89,HIGH
