threat_id,type,security_level,problem_id,service_id
THR0001,Zero-day,HIGH,PRB0040,SVC0010
THR0002,Man-in-the-middle,LOW,PRB0023,SVC0022
THR0003,Man-in-the-middle,HIGH,PRB0034,SVC0004
THR0004,Social Engineering,LOW,PRB0021,SVC0002
THR0005,Zero-day,LOW,PRB0060,SVC0002
THR0006,Ransomware,LOW,PRB0034,SVC0009
THR0007,SQL Injection,HIGH,PRB0022,SVC0029
THR0008,Phishing,MEDIUM,PRB0028,SVC0020
THR0009,Zero-day,MEDIUM,PRB0019,SVC0023
THR0010,Man-in-the-middle,HIGH,PRB0014,SVC0004
THR0011,SQL Injection,LOW,PRB0044,SVC0001
THR0012,Man-in-the-middle,HIGH,PRB0019,SVC0009
THR0013,Social Engineering,MEDIUM,PRB0045,SVC0015
THR0014,Ransomware,HIGH,PRB0058,SVC0011
THR0015,Malware,HIGH,PRB0042,SVC0029
THR0016,Man-in-the-middle,MEDIUM,PRB0012,SVC0008
THR0017,Ransomware,MEDIUM,PRB0045,SVC0026
THR0018,DDoS,LOW,PRB0017,SVC0004
THR0019,Man-in-the-middle,LOW,PRB0036,SVC0002
THR0020,SQL Injection,MEDIUM,PRB0046,SVC0015
THR0021,Ransomware,LOW,PRB0036,SVC0018
THR0022,Zero-day,MEDIUM,PRB0059,SVC0021
THR0023,Ransomware,HIGH,PRB0050,SVC0005
THR0024,Zero-day,LOW,PRB0018,SVC0025
THR0025,Zero-day,MEDIUM,PRB0022,SVC0029
